,frame,tracker_id,x,y,label,type
0,0,,218,101,"30,44.3",field
1,0,,84,306,"30,33.3",field
2,0,,452,113,"35,44.3",field
3,0,,343,315,"35,33.3",field
4,0,,192,598,"35,20",field
5,0,,40,886,"35,9",field
6,0,,690,115,"40,44.3",field
7,0,,602,323,"40,33.3",field
8,0,,346,937,"40,9",field
9,0,,862,331,"45,33.3",field
10,0,,928,124,"45,44.3",field
11,0,,1167,130,"50,44.3",field
12,0,,1409,140,"55,44.3",field
13,0,,1655,146,"60,44.3",field
14,0,,1902,155,"65,44.3",field
15,0,,1884,27,"65,53.3",field
16,0,,1653,24,"60,53.3",field
17,0,,1420,17,"55,53.3",field
18,0,,1192,12,"50,53.3",field
19,0,,965,6,"45,53.3",field
20,0,,1393,349,"55,33.3",field
21,0,,1660,360,"60,33.3",field
22,0,,1067,634,"50,20",field
23,0,,1004,961,"50,9",field
24,0,,1334,986,"55,9",field
25,0,,1674,990,"60,9",field
26,0,,1666,651,"60,20",field
27,0,,1366,642,"55,20",field
28,1,,218.6722412109375,101.13441467285156,"30,44.3",field
29,1,,84.71023559570312,306.0042419433594,"30,33.3",field
30,1,,452.5554504394531,113.19230651855469,"35,44.3",field
31,1,,343.5595397949219,315.3481140136719,"35,33.3",field
32,1,,192.74818420410156,598.0328369140625,"35,20",field
33,1,,40.50743865966797,886.1884765625,"35,9",field
34,1,,690.6912841796875,115.038818359375,"40,44.3",field
35,1,,602.4808959960938,323.18353271484375,"40,33.3",field
36,1,,346.39154052734375,937.35546875,"40,9",field
37,1,,862.6739501953125,331.004150390625,"45,33.3",field
38,1,,928.6155395507812,124.29940032958984,"45,44.3",field
39,1,,1167.751708984375,129.9848175048828,"50,44.3",field
40,1,,1409.3924560546875,140.9548797607422,"55,44.3",field
41,1,,1655.5723876953125,145.62974548339844,"60,44.3",field
42,1,,1902.73974609375,154.89427185058594,"65,44.3",field
43,1,,1884.74560546875,26.998504638671875,"65,53.3",field
44,1,,1653.7271728515625,24.154556274414062,"60,53.3",field
45,1,,1420.5517578125,17.22475814819336,"55,53.3",field
46,1,,1192.401123046875,12.346458435058594,"50,53.3",field
47,1,,965.4078979492188,6.239516258239746,"45,53.3",field
48,1,,1393.440185546875,349.0455627441406,"55,33.3",field
49,1,,1660.3870849609375,360.03985595703125,"60,33.3",field
50,1,,1067.3494873046875,634.0536499023438,"50,20",field
51,1,,1004.3778686523438,961.323974609375,"50,9",field
52,1,,1334.720703125,986.0465087890625,"55,9",field
53,1,,1674.696533203125,990.241455078125,"60,9",field
54,1,,1666.549560546875,651.142822265625,"60,20",field
55,1,,1366.3741455078125,642.16455078125,"55,20",field
56,2,,218.4039306640625,101.33749389648438,"30,44.3",field
57,2,,84.48522186279297,306.2423095703125,"30,33.3",field
58,2,,452.6451110839844,112.8520736694336,"35,44.3",field
59,2,,343.404052734375,315.3234558105469,"35,33.3",field
60,2,,192.2571563720703,598.0438232421875,"35,20",field
61,2,,40.05321502685547,886.3890380859375,"35,9",field
62,2,,690.4323120117188,115.33704376220703,"40,44.3",field
63,2,,602.4103393554688,323.220458984375,"40,33.3",field
64,2,,345.9827575683594,937.3990478515625,"40,9",field
65,2,,862.2842407226562,331.0564270019531,"45,33.3",field
66,2,,928.4061279296875,124.63662719726562,"45,44.3",field
67,2,,1167.3636474609375,130.42257690429688,"50,44.3",field
68,2,,1409.38330078125,140.154541015625,"55,44.3",field
69,2,,1655.2747802734375,146.21536254882812,"60,44.3",field
70,2,,1902.47900390625,155.06552124023438,"65,44.3",field
71,2,,1884.3359375,27.351276397705078,"65,53.3",field
72,2,,1653.73974609375,24.30466079711914,"60,53.3",field
73,2,,1420.48876953125,17.236854553222656,"55,53.3",field
74,2,,1192.376220703125,12.341178894042969,"50,53.3",field
75,2,,965.3897705078125,6.285451889038086,"45,53.3",field
76,2,,1393.166015625,349.1982116699219,"55,33.3",field
77,2,,1660.037353515625,360.22796630859375,"60,33.3",field
78,2,,1066.9857177734375,634.1046142578125,"50,20",field
79,2,,1003.9722290039062,961.3460693359375,"50,9",field
80,2,,1334.2794189453125,985.9885864257812,"55,9",field
81,2,,1674.3236083984375,990.2593994140625,"60,9",field
82,2,,1666.107421875,651.1563720703125,"60,20",field
83,2,,1366.0087890625,642.1664428710938,"55,20",field
84,3,,218.48983764648438,101.21312713623047,"30,44.3",field
85,3,,84.47613525390625,306.2113342285156,"30,33.3",field
86,3,,452.55419921875,112.99565124511719,"35,44.3",field
87,3,,343.4413146972656,315.4762268066406,"35,33.3",field
88,3,,192.4832000732422,598.0960083007812,"35,20",field
89,3,,40.276424407958984,886.408447265625,"35,9",field
90,3,,690.4488525390625,115.42145538330078,"40,44.3",field
91,3,,602.4107055664062,323.22283935546875,"40,33.3",field
92,3,,346.357177734375,937.167236328125,"40,9",field
93,3,,862.2947998046875,331.0611572265625,"45,33.3",field
94,3,,928.3417358398438,124.82302856445312,"45,44.3",field
95,3,,1167.346923828125,130.92539978027344,"50,44.3",field
96,3,,1409.327392578125,139.9841766357422,"55,44.3",field
97,3,,1655.2744140625,146.21385192871094,"60,44.3",field
98,3,,1902.4466552734375,155.0386962890625,"65,44.3",field
99,3,,1884.3359375,27.3513126373291,"65,53.3",field
100,3,,1653.7369384765625,24.316627502441406,"60,53.3",field
101,3,,1420.494384765625,17.25001335144043,"55,53.3",field
102,3,,1192.376220703125,12.340805053710938,"50,53.3",field
103,3,,965.3878784179688,6.2877044677734375,"45,53.3",field
104,3,,1393.258056640625,349.3507385253906,"55,33.3",field
105,3,,1660.136962890625,360.015869140625,"60,33.3",field
106,3,,1066.983154296875,634.1068115234375,"50,20",field
107,3,,1004.2122802734375,961.489990234375,"50,9",field
108,3,,1334.3546142578125,986.5233154296875,"55,9",field
109,3,,1674.33740234375,990.27783203125,"60,9",field
110,3,,1666.1788330078125,651.1974487304688,"60,20",field
111,3,,1366.3643798828125,642.1715087890625,"55,20",field
112,4,,218.47760009765625,101.99495697021484,"30,44.3",field
113,4,,84.54705047607422,306.634033203125,"30,33.3",field
114,4,,452.5513610839844,113.75737762451172,"35,44.3",field
115,4,,343.7156677246094,315.8332824707031,"35,33.3",field
116,4,,192.7227020263672,598.7449340820312,"35,20",field
117,4,,40.47019577026367,887.033935546875,"35,9",field
118,4,,690.4752807617188,116.09329986572266,"40,44.3",field
119,4,,602.5301513671875,323.629638671875,"40,33.3",field
120,4,,346.68701171875,937.456787109375,"40,9",field
121,4,,862.66015625,331.72100830078125,"45,33.3",field
122,4,,928.4937133789062,125.34416961669922,"45,44.3",field
123,4,,1167.3712158203125,131.52618408203125,"50,44.3",field
124,4,,1409.3447265625,141.5876922607422,"55,44.3",field
125,4,,1655.5833740234375,146.42945861816406,"60,44.3",field
126,4,,1902.494384765625,154.88076782226562,"65,44.3",field
127,4,,1884.7762451171875,27.737722396850586,"65,53.3",field
128,4,,1653.9986572265625,24.56000518798828,"60,53.3",field
129,4,,1420.5545654296875,17.845470428466797,"55,53.3",field
130,4,,1192.5242919921875,12.874771118164062,"50,53.3",field
131,4,,965.474853515625,6.660340785980225,"45,53.3",field
132,4,,1393.5860595703125,349.7500305175781,"55,33.3",field
133,4,,1660.4205322265625,360.7550354003906,"60,33.3",field
134,4,,1067.337890625,634.809814453125,"50,20",field
135,4,,1004.7283935546875,961.824951171875,"50,9",field
136,4,,1334.7457275390625,986.9338989257812,"55,9",field
137,4,,1674.7347412109375,990.778564453125,"60,9",field
138,4,,1666.4288330078125,651.7427368164062,"60,20",field
139,4,,1366.4912109375,642.825927734375,"55,20",field
140,5,,219.1168975830078,101.57821655273438,"30,44.3",field
141,5,,84.7774429321289,306.8200988769531,"30,33.3",field
142,5,,452.8569030761719,114.02611541748047,"35,44.3",field
143,5,,344.05096435546875,315.8882751464844,"35,33.3",field
144,5,,192.84967041015625,598.6749877929688,"35,20",field
