,Unnamed: 0,frame,tracker_id,x,y,label
0,,0,9.0,438.5,603.5,RB
1,,0,2,579.0,882.5,WR
2,,0,14,680.0,636.5,T
3,,0,13,708.5,505.0,G
4,,0,3,724.0,422.0,TE
5,,0,7,810.5,233.5,WR
6,,0,1,826.0,701.0,LB
7,,0,10,840.0,613.5,LB
8,,0,12,852.5,517.0,LB
9,,0,4,884.5,94.0,WR
10,,0,8,1130.0,226.5,DB
11,,0,6,1312.0,130.0,DB
12,,0,5,1419.0,685.0,DB
13,,0,11,1517.0,293.5,DB
14,,0,52,467,530,QB
15,,0,53,738,567,C
16,,0,54,700,582,G
17,,0,55,696,490,T
18,,0,56,736,894,DB
19,,0,57,1118,375,LB
20,,0,58,839,581,DL
21,,0,59,878,452,DL
