,frame,tracker_id,x,y,label
0,0,1,826.0,701.0,
1,0,2,579.0,882.5,
2,0,3,724.0,422.0,
3,0,4,884.5,94.0,
4,0,5,1419.0,685.0,
5,0,6,1312.0,130.0,
6,0,7,810.5,233.5,
7,0,8,1130.0,226.5,
8,0,9,438.5,603.5,
9,0,10,840.0,613.5,
10,0,11,1517.0,293.5,
11,0,12,852.5,517.0,
12,0,13,708.5,505.0,
13,0,14,680.0,636.5,
14,1,1,826.43384,701.0,
15,1,2,580.30164,880.7644,
16,1,3,724.0,422.0,
17,1,4,884.5,93.56612,
18,1,5,1418.5662,685.0,
19,1,6,1310.6984,129.13223,
20,1,7,810.5,233.5,
21,1,8,1129.5662,227.36777,
22,1,9,438.9339,603.5,
23,1,10,838.69836,613.5,
24,1,11,1517.0,293.0661,
25,1,12,850.7644,515.69836,
26,1,13,708.9339,505.4339,
27,1,14,680.43384,636.9339,
28,2,1,826.5082,701.3898,
29,2,2,580.5251,881.2418,
30,2,3,724.3898,422.38977,
31,2,4,884.8882,93.491684,
32,2,5,1418.4918,685.3898,
33,2,6,1310.8652,128.9836,
34,2,7,811.27954,233.5,
35,2,8,1129.4917,227.51685,
36,2,9,438.6184,603.5,
37,2,10,838.0832,614.2859,
38,2,11,1518.9557,292.60077,
39,2,12,853.5072,515.47327,
40,2,13,709.00836,504.7325,
41,3,1,825.75696,702.2782,
42,3,2,580.57166,881.0464,
43,3,3,724.1325,422.51227,
44,3,4,884.24274,93.86105,
45,3,5,1417.7109,685.51196,
46,3,6,1310.5598,129.3345,
47,3,7,811.14246,233.5,
48,3,8,1129.8558,228.68756,
49,3,9,438.5115,603.8816,
50,3,10,836.0149,615.6675,
51,3,11,1519.946,293.61636,
52,3,12,854.46643,516.19714,
53,3,13,709.4076,504.88577,
54,4,1,825.5139,703.2901,
55,4,2,580.2009,881.35547,
56,4,3,724.0394,422.1748,
57,4,4,884.4007,93.981766,
58,4,5,1417.4684,685.54156,
59,4,6,1310.0986,129.8281,
60,4,7,811.07996,233.5,
61,4,8,1129.6125,229.05603,
62,4,9,438.1137,604.00385,
63,4,10,833.52454,616.83386,
64,4,11,1520.9531,293.58112,
65,4,12,855.46075,516.4365,
66,4,13,709.89685,505.3142,
67,5,1,825.4444,703.24207,
68,5,2,580.4258,881.81995,
69,5,3,724.36597,422.41205,
70,5,4,884.4595,94.37659,
71,5,5,1415.9631,684.82227,
72,5,6,1309.9545,130.70636,
73,5,7,811.40906,233.85797,
74,5,8,1129.1707,229.15414,
75,5,9,438.34088,604.0382,
76,5,10,829.16187,621.8465,
77,5,11,1521.962,294.2777,
78,5,12,857.5343,517.9403,
79,6,1,824.34314,703.9125,
80,6,2,580.50214,881.98083,
81,6,3,724.4793,422.141,
82,6,4,884.48206,94.50942,
83,6,5,1414.4021,685.27893,
84,6,6,1310.2666,131.00487,
85,6,7,811.8696,233.98216,
86,6,8,1129.0171,229.51459,
87,6,9,438.4281,604.04407,
88,6,10,827.01984,623.8867,
89,6,11,1522.9692,295.2136,
90,6,12,858.9165,518.1058,
91,7,1,822.5586,704.47095,
92,7,2,581.21313,882.0332,
93,7,3,724.5165,422.0433,
94,7,4,884.4909,94.54941,
95,7,5,1413.1935,685.096,
96,7,6,1310.3883,131.44171,
97,7,7,812.0255,234.02237,
98,7,8,1128.6243,229.28384,
99,7,9,438.80707,603.697,
100,7,10,825.9962,624.5475,
101,7,11,1523.6274,295.88037,
102,7,12,860.04004,517.79297,
103,8,1,821.26855,704.9913,
104,8,2,581.4683,882.0467,
105,8,3,724.5267,422.008,
106,8,4,884.4946,94.55725,
107,8,5,1412.1082,684.6886,
108,8,6,1310.4384,131.5859,
109,8,7,812.0724,234.03294,
110,8,8,1128.1458,229.5214,
111,8,9,439.62537,603.9072,
112,8,10,826.72986,625.38464,
113,8,11,1523.4751,296.10046,
114,8,12,861.07666,516.9917,
115,9,1,820.8484,705.8462,
116,9,2,581.8917,882.3845,
117,9,3,725.2041,421.99585,
118,9,4,884.4963,94.55452,
119,9,5,1411.4087,684.87744,
120,9,6,1310.46,132.30243,
121,9,7,811.7422,234.37206,
122,9,8,1127.6404,229.59708,
123,9,9,440.25647,603.98364,
124,9,10,826.4113,625.62427,
125,9,11,1523.7211,295.13092,
126,9,12,861.0945,517.35486,
127,9,16,466.2,555.69995,
128,9,14,682.48676,637.99744,
129,10,1,820.04364,705.78406,
130,10,2,582.37756,882.5054,
131,10,3,726.1244,422.32855,
132,10,4,884.4972,95.55914,
