tracker_id,,frame,tracker_id,field_x,field_y,label,team,calc,original_tracker_id
1.0,0,0,1.0,48.6403,16.895355,LB,defense,Detection,
1.0,22,1,1.0,48.648567,16.89639,LB,defense,Detection,1.0
1.0,44,2,1.0,48.65214,16.878725,LB,defense,Detection,1.0
1.0,66,3,1.0,48.642757,16.83627,LB,defense,Detection,1.0
1.0,88,4,1.0,48.643734,16.7894,LB,defense,Detection,1.0
1.0,110,5,1.0,48.642143,16.79143,LB,defense,Detection,1.0
1.0,132,6,1.0,48.62489,16.75814,LB,defense,Detection,1.0
1.0,154,7,1.0,48.59401,16.728338,LB,defense,Detection,1.0
1.0,176,8,1.0,48.572334,16.701468,LB,defense,Detection,1.0
1.0,198,9,1.0,48.569088,16.661404,LB,defense,Detection,1.0
1.0,220,10,1.0,48.55342,16.66231,LB,defense,Detection,1.0
1.0,242,11,1.0,48.554737,16.664644,LB,defense,Detection,1.0
1.0,264,12,1.0,48.548397,16.618298,LB,defense,Detection,1.0
1.0,286,13,1.0,48.548298,16.586796,LB,defense,Detection,1.0
1.0,308,14,1.0,48.53133,16.558352,LB,defense,Detection,1.0
1.0,330,15,1.0,48.54299,16.457752,LB,defense,Detection,1.0
1.0,352,16,1.0,48.59163,16.272633,LB,defense,Detection,1.0
1.0,374,17,1.0,48.628036,16.161705,LB,defense,Detection,1.0
1.0,396,18,1.0,48.662228,16.109804,LB,defense,Detection,1.0
1.0,418,19,1.0,48.684757,16.063322,LB,defense,Detection,1.0
1.0,440,20,1.0,48.675953,16.030653,LB,defense,Detection,1.0
1.0,462,21,1.0,48.6552,16.003197,LB,defense,Detection,1.0
1.0,484,22,1.0,48.634525,15.9934435,LB,defense,Detection,1.0
1.0,506,23,1.0,48.632965,15.992483,LB,defense,Detection,1.0
1.0,528,24,1.0,48.649357,16.011284,LB,defense,Detection,1.0
1.0,550,25,1.0,48.65993,16.035877,LB,defense,Detection,1.0
1.0,572,26,1.0,48.670074,16.047247,LB,defense,Detection,1.0
1.0,594,27,1.0,48.68631,16.0541,LB,defense,Detection,1.0
1.0,616,28,1.0,48.69849,16.05833,LB,defense,Detection,1.0
1.0,638,29,1.0,48.69836,16.044815,LB,defense,Detection,1.0
1.0,660,30,1.0,48.698044,16.040445,LB,defense,Detection,1.0
1.0,682,31,1.0,48.697746,16.039337,LB,defense,Detection,1.0
1.0,704,32,1.0,48.69118,16.038706,LB,defense,Detection,1.0
1.0,726,33,1.0,48.694794,16.039791,LB,defense,Detection,1.0
1.0,748,34,1.0,48.667347,16.067392,LB,defense,Detection,1.0
1.0,770,35,1.0,48.644356,16.076588,LB,defense,Detection,1.0
1.0,792,36,1.0,48.604126,16.076313,LB,defense,Detection,1.0
1.0,814,37,1.0,48.56062,16.103075,LB,defense,Detection,1.0
1.0,836,38,1.0,48.531895,16.111761,LB,defense,Detection,1.0
1.0,858,39,1.0,48.511517,16.144243,LB,defense,Detection,1.0
1.0,880,40,1.0,48.498043,16.15569,LB,defense,Detection,1.0
1.0,902,41,1.0,48.495308,16.144869,LB,defense,Detection,1.0
1.0,924,42,1.0,48.486664,16.154799,LB,defense,Detection,1.0
1.0,946,43,1.0,48.498283,16.145048,LB,defense,Detection,1.0
1.0,968,44,1.0,48.509308,16.142069,LB,defense,Detection,1.0
1.0,990,45,1.0,48.520092,16.141663,LB,defense,Detection,1.0
